,vendas,acessos,data,gmv,tipo,parceiro
0,1,1,2019-01-01,7.11,Padrão,parceiro539
1,1,1,2019-01-01,29.88,Padrão,parceiro236
2,1,1,2019-01-01,10.82,Padrão,parceiro100
3,1,1,2019-01-01,6.94,Padrão,parceiro507
4,1,1,2019-01-01,6.66,Padrão,parceiro427
5,1,1,2019-01-01,82.52,Padrão,parceiro102
6,1,1,2019-01-01,371.43,Padrão,parceiro238
7,1,1,2019-01-01,41.51,Padrão,parceiro103
8,1,1,2019-01-01,33.31,Padrão,parceiro606
9,1,1,2019-01-01,19.45,Padrão,parceiro428
10,1,1,2019-01-01,7.0,Padrão,parceiro570
11,1,1,2019-01-01,2.85,Padrão,parceiro106
12,1,1,2019-01-01,55.18,Padrão,parceiro16
13,1,1,2019-01-01,27.22,Padrão,parceiro350
14,1,1,2019-01-01,77.3,Padrão,parceiro508
15,1,1,2019-01-01,9.33,Padrão,parceiro615
16,1,1,2019-01-01,15.83,Padrão,parceiro509
17,1,1,2019-01-01,4.32,Padrão,parceiro239
18,1,1,2019-01-01,4.57,Padrão,parceiro510
19,1,1,2019-01-01,73.92,Padrão,parceiro108
20,1,1,2019-01-01,31.76,Padrão,parceiro180
21,1,1,2019-01-01,16.95,Padrão,parceiro240
22,1,1,2019-01-01,59.95,Padrão,parceiro109
23,1,1,2019-01-01,7.32,Padrão,parceiro295
24,1,1,2019-01-01,11.9,Padrão,parceiro465
25,1,1,2019-01-01,14.29,Padrão,parceiro429
26,1,1,2019-01-01,2.23,Padrão,parceiro607
27,1,1,2019-01-01,276.2,Padrão,parceiro542
28,1,1,2019-01-01,14.27,Padrão,parceiro50
29,1,1,2019-01-01,9.33,Padrão,parceiro352
30,1,1,2019-01-01,11.97,Padrão,parceiro430
31,1,1,2019-01-01,5.22,Padrão,parceiro431
32,1,1,2019-01-01,307.22,Padrão,parceiro354
33,1,1,2019-01-01,34.85,Padrão,parceiro394
34,1,1,2019-01-01,42.39,Padrão,parceiro355
35,1,1,2019-01-01,15.12,Padrão,parceiro466
36,1,1,2019-01-01,39.59,Padrão,parceiro242
37,1,1,2019-01-01,3.05,Padrão,parceiro513
38,1,1,2019-01-01,6.41,Padrão,parceiro297
39,1,1,2019-01-01,4.71,Padrão,parceiro543
40,1,1,2019-01-01,6.69,Padrão,parceiro571
41,1,1,2019-01-01,137.76,Padrão,parceiro300
42,1,1,2019-01-01,9.9,Padrão,parceiro395
43,1,1,2019-01-01,11.78,Padrão,parceiro544
44,1,1,2019-01-01,11.67,Padrão,parceiro467
45,1,1,2019-01-01,2.78,Padrão,parceiro112
46,1,1,2019-01-01,29.67,Padrão,parceiro113
47,1,1,2019-01-01,153.83,Padrão,parceiro245
48,1,1,2019-01-01,69.84,Padrão,parceiro357
49,1,1,2019-01-01,4.28,Padrão,parceiro114
50,1,1,2019-01-01,8.13,Padrão,parceiro115
51,1,1,2019-01-01,9.43,Padrão,parceiro545
52,1,1,2019-01-01,52.38,Padrão,parceiro358
53,1,1,2019-01-01,9.36,Padrão,parceiro546
54,1,1,2019-01-01,7.51,Padrão,parceiro4
55,1,1,2019-01-01,7.23,Padrão,parceiro116
56,1,1,2019-01-01,5.31,Padrão,parceiro547
57,1,1,2019-01-01,14.28,Padrão,parceiro246
58,1,1,2019-01-01,15.79,Padrão,parceiro303
59,1,1,2019-01-01,14.14,Padrão,parceiro468
60,1,1,2019-01-01,19.17,Padrão,parceiro183
61,1,1,2019-01-01,52.27,Padrão,parceiro304
62,1,1,2019-01-01,7.45,Padrão,parceiro516
63,1,1,2019-01-01,23.19,Padrão,parceiro396
64,1,1,2019-01-01,5.23,Padrão,parceiro469
65,1,1,2019-01-01,6.79,Padrão,parceiro585
66,1,1,2019-01-01,3.23,Padrão,parceiro5
67,1,1,2019-01-01,42.81,Padrão,parceiro184
68,1,1,2019-01-01,10.67,Padrão,parceiro21
69,1,1,2019-01-01,71.3,Padrão,parceiro548
70,1,1,2019-01-01,21.06,Padrão,parceiro54
71,1,1,2019-01-01,5.82,Padrão,parceiro117
72,1,1,2019-01-01,3.42,Padrão,parceiro55
73,1,1,2019-01-01,24.57,Padrão,parceiro586
74,1,1,2019-01-01,43.35,Padrão,parceiro597
75,1,1,2019-01-01,9.48,Padrão,parceiro185
76,1,1,2019-01-01,5.24,Padrão,parceiro470
77,1,1,2019-01-01,9.48,Padrão,parceiro433
78,1,1,2019-01-01,15.95,Padrão,parceiro56
79,1,1,2019-01-01,0.0,Padrão,parceiro247
80,1,1,2019-01-01,4.81,Padrão,parceiro518
81,1,1,2019-01-01,8.24,Padrão,parceiro248
82,1,1,2019-01-01,0.06,Padrão,parceiro57
83,1,1,2019-01-01,3.81,Padrão,parceiro359
84,1,1,2019-01-01,13.1,Padrão,parceiro397
85,1,1,2019-01-01,7.23,Padrão,parceiro472
86,1,1,2019-01-01,13.44,Padrão,parceiro473
87,1,1,2019-01-01,28.08,Padrão,parceiro398
88,1,1,2019-01-01,8.64,Padrão,parceiro249
89,1,1,2019-01-01,0.47,Padrão,parceiro434
90,1,1,2019-01-01,5.14,Padrão,parceiro360
91,1,1,2019-01-01,22.35,Padrão,parceiro250
92,1,1,2019-01-01,8.52,Padrão,parceiro361
93,1,1,2019-01-01,3.25,Padrão,parceiro399
94,1,1,2019-01-02,1.9,Padrão,parceiro400
95,1,1,2019-01-02,5.86,Padrão,parceiro118
96,1,1,2019-01-02,104.17,Padrão,parceiro119
97,1,1,2019-01-02,3.33,Padrão,parceiro307
98,1,1,2019-01-02,34.09,Padrão,parceiro507
99,1,1,2019-01-02,45.97,Padrão,parceiro427
100,1,1,2019-01-02,9.52,Padrão,parceiro435
101,1,1,2019-01-02,33.66,Padrão,parceiro103
102,1,1,2019-01-02,5.47,Padrão,parceiro23
103,1,1,2019-01-02,4.74,Padrão,parceiro519
104,1,1,2019-01-02,7.85,Padrão,parceiro570
105,1,1,2019-01-02,262.93,Padrão,parceiro58
106,1,1,2019-01-02,19.01,Padrão,parceiro362
107,1,1,2019-01-02,47.14,Padrão,parceiro350
108,1,1,2019-01-02,223.6,Padrão,parceiro508
109,1,1,2019-01-02,28.8,Padrão,parceiro6
110,1,1,2019-01-02,32.5,Padrão,parceiro509
111,1,1,2019-01-02,25.1,Padrão,parceiro120
112,1,1,2019-01-02,17.26,Padrão,parceiro308
113,1,1,2019-01-02,10.48,Padrão,parceiro402
114,1,1,2019-01-02,1.99,Padrão,parceiro122
115,1,1,2019-01-02,20.87,Padrão,parceiro24
116,1,1,2019-01-02,30.5,Padrão,parceiro403
117,1,1,2019-01-02,34.03,Padrão,parceiro109
118,1,1,2019-01-02,14.24,Padrão,parceiro611
119,1,1,2019-01-02,16.0,Padrão,parceiro187
120,1,1,2019-01-02,15.56,Padrão,parceiro572
121,1,1,2019-01-02,6.58,Padrão,parceiro295
122,1,1,2019-01-02,11.3,Padrão,parceiro429
123,1,1,2019-01-02,59.76,Padrão,parceiro188
124,1,1,2019-01-02,0.02,Padrão,parceiro352
125,1,1,2019-01-02,18.58,Padrão,parceiro363
126,1,1,2019-01-02,16.34,Padrão,parceiro550
127,1,1,2019-01-02,6.08,Padrão,parceiro431
128,1,1,2019-01-02,15.3,Padrão,parceiro309
129,1,1,2019-01-02,10.5,Padrão,parceiro466
130,1,1,2019-01-02,10.63,Padrão,parceiro123
131,1,1,2019-01-02,359.48,Padrão,parceiro189
132,1,1,2019-01-02,29.03,Padrão,parceiro242
133,1,1,2019-01-02,44.28,Padrão,parceiro364
134,1,1,2019-01-02,100.87,Padrão,parceiro438
135,1,1,2019-01-02,258.03,Padrão,parceiro61
